hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
245,cytoplasmic microtubule,CCDC112 CCDC14 CCDC181 CCDC191 CCDC34 CEP95 DNAI1 DYDC2 EFHC1 EPSTI1 FAM161A FAM161B HAP1 IQUB KIAA2012 LRRIQ3 MAP7D1 MAP9 RSPH3 SPA17 SPATA17,
263,cytoplasmic stress granule,ELAVL1 ESRP1 FUBP3 HNRNPLL IGF2BP1 IGF2BP2 IGF2BP3 PABPC1 PABPC1L PABPC3 PABPC4 PABPC4L PCBP1 PCBP2 PCBP3 PTBP1 PTBP2 PTBP3 PUF60 RBM45 RBM46 TIA1 TIAL1 TRNAU1AP,
272,cytoplasmic stress granule,AGFG1 AGFG2 AHDC1 AHR AKAP8 AKAP8L ANKRD11 ANKRD12 ANXA11 ANXA7 ARID1A ARID1B ARID2 ARID5B ARNT ARNT2 ARPP21 ASH1L ASXL1 ASXL3 ATF2 ATF7 ATF7IP ATN1 ATXN1 ATXN2 ATXN2L AUTS2 BAG4 BAZ2A BAZ2B BCL9 BCL9L BDP1 BICC1 BICRA BICRAL BMP2K BOD1L1 BPTF CAPRIN1 CASC3 CASP8AP2 CBFA2T2 CCDC200 CDK12 CDK13 CECR2 CHD1 CHD2 CHD3 CHD4 CHD5 CHD6 CHD7 CHD8 CHD9 CIC CLINT1 CLOCK CNOT2 CNOT4 CREB5 CREBBP CRTC1 CRTC2 CRTC3 DCP1A DCP1B DIDO1 DROSHA DVL2 DVL3 EIF4ENIF1 EIF4G1 EIF4G3 EMSY EP300 EPAS1 EPC1 EPC2 EPN2 EYA1 EYA2 EYA3 EYA4 FAM222B FBRS FBRSL1 FIGN FNBP4 FOXJ2 FOXJ3 FOXK1 FOXK2 FOXO3 FXR2 GATAD2A GATAD2B GIGYF1 GIGYF2 GON4L GORASP2 GPS2 GRINA GSE1 HGS HIPK1 HIPK3 HIVEP1 HIVEP2 JMJD1C KAT6A KAT6B KDM6B KHDC4 KIAA2026 KMT2B KMT2E LARP1 LARP1B LARP4 LARP4B LATS1 LENG8 LGALS3 MAML1 MAML2 MAML3 MAPK1IP1L MBD5 MBD6 MED25 MGA MLLT10 MLLT6 MN1 MPLKIP MRTFA MRTFB MYOCD MYRF NCOA1 NCOA2 NCOA3 NCOA6 NCOR1 NCOR2 NIPBL NOL4 NPAS2 NRIP1 NUFIP2 NUMB NUP153 NUP214 NUP42 NUP54 NUP58 NUP62 NUP98 OTUD4 PAN3 PATL1 PBRM1 PCM1 PEF1 PHF21B POM121 POM121C PPRC1 PRDM2 PROSER1 PRPF40B PRR12 PRRC1 PRRC2A PRRC2B PRRC2C PTPRZ1 PUM1 PUM2 PYGO1 PYGO2 QSER1 R3HDM1 R3HDM2 RAI1 RAVER2 RBM15 RBM5 RBM6 RC3H1 RC3H2 RERE RFX1 RFX2 RFX7 RNF111 RNF165 RNF38 RNF44 RPRD2 RUNX1T1 SCAF1 SCAF11 SEC16A SEC16B SEC23IP SEC24A SEC24B SEC24C SEC24D SEC31A SETBP1 SETD1A SETD1B SETD2 SETD5 SF3A1 SF3B2 SIK2 SIK3 SIN3A SMAD4 SMAP1 SMAP2 SMARCA2 SMARCA4 SMG7 SOBP SRCAP SRRT SS18 SS18L1 STAM STAM2 SUPT20H TAB2 TAF1L TCERG1 TCF20 TET2 TET3 TFG TMBIM1 TNRC18 TNRC6A TNRC6C TSC22D1 TSC22D2 UBALD1 UBAP2 UBAP2L VPS37B VPS37C WAC WBP2NL WNK1 YAP1 YEATS2 YTHDF1 YTHDF2 YTHDF3 ZFR ZFR2 ZMIZ1 ZMIZ2 ZNF318 ZNF326 ZNF608 ZNF609 ZNF638 ZNF804A ZNF804B,
20,cytosolic large ribosomal subunit,BTF3 FAU RPL10A RPL10L RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL36AL RPL37 RPL37A RPL38 RPL4 RPL41 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS5 RPS6 RPS7 RPS8 RPS9 RPSA UBA52,
220,death receptor activity,BST2 CD27 CD320 CD40 DCBLD1 EDAR FAM189A2 FAS FNDC9 IL15RA LAYN LIME1 LTBR NGFR PTCRA RELT SUSD3 SUSD6 TNFRSF10A TNFRSF10B TNFRSF10C TNFRSF10D TNFRSF11A TNFRSF11B TNFRSF13B TNFRSF14 TNFRSF18 TNFRSF19 TNFRSF1A TNFRSF1B TNFRSF21 TNFRSF25 TNFRSF4 TNFRSF8 TNFRSF9 UPK3B,
4,detoxification of copper ion,MT1A MT1B MT1E MT1F MT1G MT1H MT1HL1 MT1M MT1X MT2A MT3 MT4,
97,disruption of cellular anatomical structure in another organism,DEFA1 DEFA1B DEFA3 DEFA4 DEFA5 DEFA6 FAM237B PRND SCRG1 THPO,
162,dolichol-linked oligosaccharide biosynthetic process,AGMO ALG10B ALG3 CDS1 HHATL LBR NRM PIGW RFT1 RHBDL1 SGPP1 STEAP1B TM6SF1 TMEM161A TMEM161B TMEM19 TMEM269 TMEM41A TMEM42 XKR3,
253,dynein light intermediate chain binding,CALCOCO1 CALCOCO2 CCDC68 CCDC69 CCDC77 CCDC88B CEP131 CEP164 CEP70 CEP85 CEP89 CGN FAM81A FILIP1 FILIP1L GCC1 HOOK1 HOOK2 MYZAP OPTN PLEKHD1 RABEP2 SPAG5 TNIP1 TNIP3 TXLNA,
190,embryonic pattern specification,ARID3B C11orf53 COLCA2 CXXC4 EBF1 EBF2 EBF3 EBF4 ERG ETV4 FAM168B FLI1 FOXN1 GCM1 GCM2 GLIS3 IRF2BP1 IRF2BP2 IRF2BPL MEIS1 MEIS2 MEIS3 PAX1 PAX5 PAX8 PAX9 PBX3 POU2AF1 POU2F2 QKI RFX4 RFX6 RUNX1 RUNX2 RUNX3 SIM1 SIM2 SOX10 SOX17 SOX7 SOX8 SOX9 TBR1 TBX10 TBX15 TBX18 TBX19 TBX20 TBX21 TBX4 TBX5 TBX6 TBXT TCF7L1 TCF7L2 TOX TOX2,
194,embryonic skeletal system morphogenesis,ALX1 ALX3 ALX4 BARHL1 BARHL2 BARX1 BARX2 BSX CDX1 CDX2 CRX DBX1 DBX2 DLX1 DLX2 DLX3 DLX4 DLX5 DLX6 DMBX1 DPRX DRGX DUXA DUXB EMX1 EMX2 EN1 EVX1 EVX2 FEV FOXA2 GATA4 GATA6 GBX1 GBX2 GSC GSC2 GSX1 GSX2 HESX1 HHEX HLX HMX1 HMX2 HMX3 HOXA1 HOXA10 HOXA11 HOXA13 HOXA2 HOXA3 HOXA4 HOXA5 HOXA6 HOXA7 HOXA9 HOXB1 HOXB13 HOXB2 HOXB3 HOXB4 HOXB5 HOXB6 HOXB7 HOXB8 HOXB9 HOXC10 HOXC11 HOXC12 HOXC13 HOXC4 HOXC5 HOXC6 HOXC8 HOXC9 HOXD1 HOXD10 HOXD11 HOXD12 HOXD13 HOXD3 HOXD4 HOXD8 HOXD9 IRX1 IRX2 IRX3 IRX4 IRX5 IRX6 ISX LBX1 LBX2 MEOX1 MEOX2 MIXL1 MNX1 MSX1 MSX2 NANOGP8 NKX1-1 NKX1-2 NKX2-1 NKX2-2 NKX2-3 NKX2-4 NKX2-5 NKX2-6 NKX2-8 NKX3-1 NKX3-2 NKX6-1 NKX6-2 NKX6-3 NOTO ONECUT3 OTP OTX1 OTX2 PDX1 PHOX2A PHOX2B PITX1 PITX2 PITX3 POU1F1 POU3F1 POU3F2 POU3F3 POU4F1 POU4F2 PROP1 PRRX2 RAX RAX2 SEBOX SHOX2 TLX1 TLX2 TLX3 UNCX VAX1 VAX2 VENTX VSX1 VSX2,
149,endoplasmic reticulum organization,ARL6IP1 BCAP29 EMC3 EMC4 EMC7 GET1 GPRC5B GPRC5C LITAFD NDFIP1 PIGC REEP1 REEP2 REEP3 REEP5 SCAMP1 SCAMP2 SCAMP3 SELENOT SPCS2 TMEM185B TMEM203 TMEM221 YIF1A YIF1B YIPF1 YIPF2 YIPF3 YIPF4 YIPF5 YIPF7,
203,ephrin receptor binding,BACE1 CNTFR COCH CRLF1 CRTAC1 CUZD1 DCBLD2 DGCR2 EFNA1 EFNA2 EFNA3 EFNA5 FKBP10 GP2 HPSE2 LY86 LY96 MEP1B NLGN2 PI16 PLXDC1 PLXDC2 POSTN SULF1 SULF2 SUSD2 SUSD5 TGFBI,
123,extracellular matrix disassembly,AZU1 CELA1 CFD CMA1 CTSG ELANE GZMA GZMB GZMH GZMK GZMM KLK10 KLK11 KLK12 KLK13 KLK14 KLK15 KLK2 KLK3 KLK4 KLK5 KLK6 KLK7 KLK8 KLK9 PRSS27 PRSS57 PRSS58 PRTN3 TPSAB1 TPSB2 TPSD1,
83,extracellular matrix structural constituent conferring compression resistance,ASPN CD14 CD180 CHAD CHADL CLEC20A CPN2 DCN ECM2 EPYC FBXL8 FMOD GP5 IGFALS KERA LINGO4 LRG1 LRRC14B LRRC15 LRRC17 LRRC19 LRRC32 LRRC58 LRRC70 LRRC8A LRRC8B LRRC8C LRRC8D LRRC8E LUM MFHAS1 NRROS OGN OMD OPTC PODN PODNL1 PRELP TLR1 TLR10 TLR2 TLR3 TLR5 TLR6 TLR9 TSKU,
356,fatty acid beta-oxidation,ACAA1 ACAA2 ACAD8 ACAD9 ACADL ACADM ACADS ACADSB ACADVL ACAT1 ACAT2 ACLY ACO2 ADHFE1 AHCY AHCYL1 ALDH1A1 ALDH1A2 ALDH1A3 ALDH1B1 ALDH2 ALDH4A1 ALDH5A1 ALDH6A1 ALDH7A1 ALDH8A1 ALDH9A1 ALDOA ALDOC ASS1 ATP5F1A ATP5F1B ATP5F1C ATP5PO ATP6V1A ATP6V1B1 ATP6V1B2 AUH BCKDHA BCKDHB CKB CKM CKMT1A CKMT1B CKMT2 CRYZ CS DECR1 DLD ECH1 ECHDC1 ECHDC2 ECHS1 ECI2 EEF1G ENO1 ENO2 ENO3 ETFA ETFB FBP1 FH GCDH GLUD1 GLUL GOT1 GOT2 GPI GSTK1 HADH HADHA HADHB HIBADH HIBCH HMGCS2 HSD17B4 HSDL2 HSPA9 IDH1 IDH2 IDH3A IDH3B IMPDH2 IVD LAP3 MAT2A MCCC1 MCCC2 MDH1 MDH2 MMUT NDUFS1 NDUFS2 NDUFV1 NNT OAT OGDH OXCT2 PCCA PCCB PDHA2 PDHB PFKM PFKP PGD PGK2 PGM1 PKM PPIAL4E PPIAL4F PYGB PYGL PYGM RPL3L SCP2 SDHA SHMT1 SHMT2 SUCLA2 SUCLG1 SUCLG2 SUGCT TALDO1 TKT TUFM UQCRC2,
5,fatty acid binding,CRABP1 CRABP2 FABP1 FABP12 FABP2 FABP3 FABP4 FABP5 FABP6 FABP7 FABP9 PMP2 RBP1 RBP2 RBP5 RBP7,
157,fatty acid elongase activity,ACER1 ACER2 ACER3 ADTRP AIG1 CLN8 ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FITM1 FITM2 G6PC3 LTC4S MMD MMD2 MYMK PAQR3 PAQR4 PAQR5 PAQR7 PAQR8 PGAP3 SLC50A1 TLCD1 TLCD2 TLCD3A TLCD3B TLCD5 TMEM229B TMEM86B TSPO2,
189,fatty-acyl-CoA synthase activity,ACSM1 ACSM2A ACSM2B ACSM3 ACSM4 ACSM5 ACSM6 ADH1A ADH1B ADH1C ADH4 ADH5 ADH6 ADH7 GSTZ1 PTGR1,
89,fibroblast growth factor receptor binding,CRYGN FGF1 FGF10 FGF11 FGF12 FGF17 FGF18 FGF19 FGF20 FGF21 FGF22 FGF23 FGF3 FGF4 FGF5 FGF6 FGF7 FGF8 FGF9 FSCN1 FSCN2 FSCN3,
415,filopodium assembly,ACAP1 ACAP2 ACAP3 ADD2 ADD3 ANKRD13B ANKS3 APBA1 APPL2 ARHGAP12 ARHGAP25 ARHGAP27 ARHGAP28 ARHGEF1 ARHGEF10L ARHGEF15 ARHGEF16 ARHGEF25 ARHGEF38 ARHGEF4 ASAP3 CAMTA2 CCDC141 DENND1C EPS8L1 EPS8L3 FAF1 FARP1 FARP2 FBXO38 FCHSD1 FGD2 FGD3 FRMD3 FRMD5 GARNL3 ICA1 ICA1L INPP5D KIAA0930 LRCH1 NCOA7 NET1 NIBAN1 OSBPL5 PACS2 PALM PEX5L PHLPP1 PIK3AP1 PIK3R1 PLEKHG6 PLEKHH3 PXK RALGPS2 RAP1GAP2 RAPGEF5 RASAL3 RASGRP1 RASGRP3 RGS9 SIPA1 SMG5 SNX9 SSH3 TBC1D10A TBC1D2 VAV2 VAV3 VEZT,
349,flavin adenine dinucleotide binding,ABHD11 ACAD10 ACAD11 ACOD1 ACOT13 ACOT6 ACSF3 ACY1 ACY3 AFMID AIFM2 AKR7A2 AKR7L ALAD AMACR AMDHD2 APRT ASPDH BAAT BPGM BPNT1 C19orf12 CBR1 CBR3 CLYBL COQ6 CTBP1 CTBP2 CUTC D2HGDH DDAH1 DDAH2 DGLUCY DHODH DHPS DNAJA3 ETHE1 FAAH FAHD2A FAHD2B FDXR FUOM GALE GALK1 GALM GAMT GDA GDI2 GK2 GK3P GK5 GLYCTK GMDS GNE GNMT GNPDA2 GOT1L1 GPD1L GPX2 GSR GTPBP10 HAAO HAGHL HMBS HMGCLL1 HSD3B7 HYI ILVBL IMPA1 IMPA2 INPP1 ISOC2 ISYNA1 KCNAB1 KCNAB2 KCNAB3 KHK L2HGDH LIAS MAT2B MCAT METTL26 MOCS1 MPST MRI1 MTAP MTG2 MTHFD2L MVD MVK NADK NAGK NAGS NAMPT NANS NAPRT NDUFAF6 NIT2 NMRAL1 NPL NUBPL ODC1 OSGEP PAFAH1B3 PANK1 PANK3 PAPSS1 PBLD PCYT2 PDPR PDSS1 PEBP1 PGLS PGM2 PGM2L1 PHYH PHYHD1 PIPOX PISD PMPCA PNP PPA2 PPOX PRODH2 PRPS1L1 PTER PYCR1 PYCR2 PYCR3 QDPR RBBP9 RDH14 RPE RPIA RTN4IP1 SAMM50 SAT2 SCLY SDR39U1 SDR42E2 SDSL SEPSECS SERHL2 SHPK SIRT3 SIRT5 SPTLC2 SQOR THEM5 THNSL2 TP53I3 TST TXNRD1 TXNRD2 TXNRD3 TYMP UPP1 UPP2 UROD VAT1 VDAC1 XPNPEP1,
37,frizzled binding,WNT1 WNT10A WNT10B WNT11 WNT16 WNT2 WNT2B WNT3 WNT3A WNT4 WNT5A WNT5B WNT6 WNT7A WNT7B WNT8A WNT8B WNT9A WNT9B,
88,galactoside binding,CLC GRIFIN LGALS1 LGALS12 LGALS13 LGALS14 LGALS16 LGALS2 LGALS4 LGALS7 LGALS7B LGALS8 LGALS9 LGALS9B LGALS9C LGALSL,
10,glucuronosyltransferase activity,UGT1A1 UGT1A10 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGT2A1 UGT2A2 UGT2A3 UGT2B10 UGT2B11 UGT2B15 UGT2B17 UGT2B28 UGT2B4 UGT2B7 UGT3A1 UGT3A2 UGT8,
112,glutamate receptor activity,ABCA2 ADGRB1 ADGRB2 ADGRB3 ADGRL1 ADGRL2 CNNM3 FZD6 GABBR1 GABBR2 GRIA1 GRIA2 GRIA4 GRID1 GRID2 GRIK1 GRIK2 GRIK3 GRIK4 GRIK5 GRIN1 GRIN2C GRIN2D GRIN3A GRIN3B GRM1 GRM2 GRM3 GRM4 GRM5 GRM6 GRM7 GRM8 GUCY2D NPR2 PIEZO2 PKD1L3 RBP3,
109,glutathione transferase activity,GSTA1 GSTA2 GSTA3 GSTA4 GSTA5 GSTM1 GSTM2 GSTM3 GSTM4 GSTM5 GSTO1 GSTP1 GSTT2 GSTT4 HPGDS,
341,glycogen binding,ACBD4 BCL2L11 BCL7C BIRC7 BMERB1 BORCS6 BTG1 C1orf174 C5orf24 CAVIN1 CAVIN2 CAVIN4 CCDC106 CCDC117 CCDC71L CDKN1B CGGBP1 DPPA4 FAM110D FAM43A FAM43B FRAT1 FRAT2 FUZ GPSM3 HEXIM1 HEXIM2 INKA1 LMOD1 LMOD3 LYSMD1 MISP3 MSANTD1 NAIF1 PABPN1L PDCD7 PNRC2 POLR2M PPP1R3B PPP1R3D PPP1R3E PPP1R3G PSIP1 RFLNB RNF113B SNAPC2 TCFL5 THAP10 THAP11 THAP2 THAP3 THAP6 THAP8 TRNP1 UBAP1L UBTFL1 ZCWPW1 ZNF821,
377,growth hormone receptor signaling pathway via JAK-STAT,ANKAR C2CD2 C2CD2L CADPS DENND3 DENND5B DGKB DGKD DIP2A DIP2B DIP2C ELMO1 ESYT1 ESYT2 ESYT3 INPP4A MCTP1 MCTP2 PIK3C2A PNPLA6 PNPLA7 PPP1R21 PTPN5 SNX7 STAT1 STAT2 STAT3 STAT4 STAT5A STAT5B STAT6 SYTL1 TBC1D8 TBC1D9 TBC1D9B TECPR2,
381,heterochromatin,ADAD2 AGAP2 AGBL3 APBB1 ATAD2 BRIP1 CABLES1 CCDC50 CTDP1 CTTN DBNL DGCR8 DMWD DNMT3A DNMT3B EXD1 FAM102A FBXO41 GGA1 GGNBP2 GTF2I HELLS JMY JPH4 KDM2A KDM4A KDM4C L3MBTL2 L3MBTL3 L3MBTL4 MBTD1 MORC1 MORC2 MRE11 MTA3 MYSM1 NSMF NUP35 PARP1 PLEKHM1 PLEKHO1 POLI POLK RAVER1 RBL1 RECQL REV1 RPS6KL1 RUFY4 SCMH1 SCYL2 SENP2 SETDB2 SFMBT1 SFMBT2 SHC1 SHC3 SHD SHE SHF SHOC1 SMARCAD1 SMCR8 SPRED1 SYDE1 TAF6L TERB1 TOM1L1 TOM1L2 TOPBP1 UHRF1 UHRF2 USPL1 WDHD1 ZSWIM2,
76,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,CEACAM1 CEACAM5 CEACAM6 CEACAM7 CEACAM8 PSG1 PSG11 PSG2 PSG3 PSG4 PSG5 PSG6 PSG7 PSG8 PSG9,
269,hippo signaling,CITED2 DACH1 FOXN3 FOXO1 GRHL1 GRHL2 GRHL3 MEF2A MEF2C MEF2D NFATC1 NFATC2 NFATC3 NFIB NFIC NFIX NOL4L SIX4 SIX5 SMAD1 SMAD5 SOX13 SRF SSBP2 TCF12 TCF3 TCF4 TEAD1 TEAD2 TEAD3 TEAD4 TFCP2 TFCP2L1 TP63 TP73 UBALD2 UBP1 VGLL4 WWTR1,
240,"histone H3K14 deacetylase activity, hydrolytic mechanism",CEP120 CFAP65 CFAP74 DCDC1 DLEC1 HDAC4 HDAC5 HDAC9 MACO1 MAP4K4 MAPK8IP3 MINK1 NDEL1 PPFIBP1 PPFIBP2 RASEF SLK SPAG9 STK10 TAOK3 TBC1D31 TNIK TRAK1 TRAK2 USO1,
395,histone H4K12 acetyltransferase activity,ANKLE2 BRD1 BRPF1 BRPF3 C18orf63 CDC6 CHAF1A CLSPN ECT2 EHMT1 EHMT2 EXO1 FAM214B GORASP1 HASPIN JADE2 KBTBD11 KDM2B KDM4B KHNYN KIAA0895 MCM10 MORC3 NBN NEIL3 NSD2 PARPBP PMS1 RAB11FIP2 RFC1 RTN2 SENP3 SETDB1 SPATA2L SYBU THAP4 TIPARP USP1 USP37 WDR76,
144,histone methyltransferase binding,ADNP ADNP2 ATMIN BCL11A BCL11B BCL6 BCL6B BNC1 CASZ1 CTCF CTCFL E4F1 FIZ1 GLIS2 GTF3A GZF1 HIC1 HIC2 HINFP IKZF1 IKZF2 IKZF3 IKZF4 IKZF5 KLF12 MECOM MSL2 MTF1 MYNN NACC1 NACC2 OVOL3 PATZ1 PLAG1 PLAGL1 PLAGL2 PRDM1 PRDM10 PRDM14 PRDM15 PRDM16 PRDM4 PRDM5 REST RREB1 SALL1 SALL2 SALL3 SALL4 TRPS1 TSHZ1 TSHZ2 TSHZ3 VEZF1 WIZ YY1 ZBTB1 ZBTB11 ZBTB12 ZBTB14 ZBTB16 ZBTB17 ZBTB18 ZBTB2 ZBTB21 ZBTB22 ZBTB24 ZBTB25 ZBTB26 ZBTB3 ZBTB32 ZBTB34 ZBTB38 ZBTB39 ZBTB4 ZBTB40 ZBTB41 ZBTB42 ZBTB43 ZBTB44 ZBTB45 ZBTB46 ZBTB47 ZBTB48 ZBTB49 ZBTB5 ZBTB6 ZBTB7A ZBTB7B ZBTB7C ZBTB8A ZBTB9 ZEB1 ZEB2 ZFAT ZFHX2 ZFP64 ZFP91 ZFPM1 ZFPM2 ZHX1 ZHX2 ZHX3 ZMYM5 ZNF131 ZNF142 ZNF143 ZNF148 ZNF217 ZNF219 ZNF236 ZNF276 ZNF280A ZNF280B ZNF280D ZNF281 ZNF296 ZNF316 ZNF319 ZNF335 ZNF341 ZNF358 ZNF362 ZNF366 ZNF384 ZNF385B ZNF385D ZNF407 ZNF408 ZNF410 ZNF423 ZNF438 ZNF462 ZNF507 ZNF513 ZNF516 ZNF518A ZNF518B ZNF521 ZNF524 ZNF526 ZNF532 ZNF536 ZNF574 ZNF575 ZNF579 ZNF580 ZNF581 ZNF592 ZNF628 ZNF646 ZNF652 ZNF653 ZNF654 ZNF668 ZNF683 ZNF687 ZNF692 ZNF710 ZNF740 ZNF76 ZNF770 ZNF784 ZNF787 ZNF800 ZNF827 ZNF865 ZXDC,
235,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines",CPT1A CPT1B CPT1C CPT2 CROT FAM187B FAM234A FAM234B FBXO24 GDPD5 KY LPCAT1 PADI1 PADI2 PADI3 PADI4 PADI6 TMEM249,
204,"hydrolase activity, hydrolyzing O-glycosyl compounds",B3GALNT2 B3GLCT CHID1 EDEM1 FKTN FUT4 GLTPD2 H6PD HYAL1 HYAL3 HYAL4 MAN1A1 MAN1A2 MAN1B1 MAN1C1 MANEAL MOGS MYORG NAGLU NDST2 NDST3 NXPE1 NXPE4 POGLUT3 SIL1 SPAM1,
164,inhibitory MHC class I receptor activity,FCAR GP6 KIR2DL1 KIR2DL3 KIR2DL4 KIR3DL1 KIR3DL2 KIR3DL3 LAIR2 LILRA1 LILRA2 LILRA4 LILRA5 LILRA6 LILRB1 LILRB2 LILRB3 LILRB4 LILRB5 NCR1,
369,inner kinetochore,ABCF1 AIDA ARPC5L ATG3 CARD18 CCDC115 CCDC90B CCNDBP1 CENPN CENPP CENPS CENPW CHTF8 CRCP DNAAF2 DNAJC24 DUSP12 EIF3D EIF3H ERCC1 FADD GEMIN2 GINS2 GINS4 GNL1 GSKIP GTF2E1 HOPX ISG20L2 MAF1 MED18 MED20 METAP2 NSMCE1 NT5M NUDC PGAM5 POLR1D PSME1 PSME2 PSME3 PYCARD PYDC1 PYDC2 REC114 RNASEH2C ROPN1 ROPN1B RPAIN RRAGC RTRAF SEC63 SF3A3 SNF8 ST13 THUMPD1 TSR3 TTC32 TYW3 UBAC1 YEATS4,
353,inner mitochondrial membrane protein complex,ACYP2 AFG1L ATPAF2 BOLA1 C6orf136 CCDC51 COMTD1 COQ3 DIABLO DMAC2 DMAC2L DNPH1 FAM185A GPX1 GRPEL2 HDDC2 HDDC3 HTD2 MCU MMAB MRPL38 MRS2 MTX1 NDUFA10 NDUFAF1 NDUFAF5 NME3 NTHL1 NUDT6 NUDT8 NUDT9 OMA1 OXNAD1 PCBD1 PDF PPIL1 PTRH2 PTS RMND1 STARD7 TIMM44 TIMM50 TK2 UQCC1 YBEY,
237,integrated stress response signaling,ANTXRL ATF3 ATF4 ATF5 ATF6 ATF6B ATOH8 BATF BATF2 BATF3 CEBPG CREB3 CREB3L1 CREB3L2 CREB3L3 CREB3L4 DBP ELK3 ELK4 ERF ETV3 FOS FOSB FOSL1 FOSL2 HLF HSF5 IER5L IRF1 IRF2 IRF3 IRF4 IRF5 IRF6 IRF7 IRF8 IRF9 JDP2 MITF MXD3 MXD4 MYC MYCL MYCN NFATC4 NFE2 NFE2L1 NFE2L2 REL RELA RELB SERTAD4 SMAD3 SMAD9 SOX30 TAL2 TEF TFAP4 TFEB TFEC TGIF1 TGIF2 TOB1 TOB2 XBP1 ZFP36 ZFP36L1 ZFP36L2,
179,integrin complex,BRINP2 BRINP3 CACNA2D3 CACNA2D4 CEMIP CEMIP2 CLSTN1 CLSTN3 CNTNAP4 DPP10 FGFRL1 FNDC3B FSTL4 FSTL5 ITGA1 ITGA10 ITGA11 ITGA2 ITGA2B ITGA3 ITGA4 ITGA5 ITGA6 ITGA7 ITGA8 ITGA9 ITGAD ITGAE ITGAL ITGAM ITGAX ITIH5 KIAA0319 KIAA0319L LRP6 PLXNC1 SEMA6A SEMA6D SEZ6L SORCS1 SORCS2 SORCS3 SORT1,
72,intercellular bridge,ACTA1 ACTA2 ACTB ACTBL2 ACTC1 ACTG1 ACTG2 EEF1A2 TUBA1A TUBA1B TUBA1C TUBA3C TUBA3D TUBA3E TUBA4A TUBA4B TUBA8 TUBAL3 TUBB TUBB1 TUBB2A TUBB2B TUBB3 TUBB4A TUBB4B TUBB6 TUBB8,
51,interleukin-1 beta production,NAIP NLRC3 NLRC4 NLRC5 NLRP1 NLRP11 NLRP12 NLRP13 NLRP14 NLRP2 NLRP3 NLRP4 NLRP5 NLRP6 NLRP7 NLRP8 NLRP9 NLRX1 NOD1 NOD2,
90,interleukin-1 receptor binding,IL18 IL1A IL1B IL1F10 IL1RN IL33 IL36A IL36B IL36G IL36RN IL37,
25,intermediate filament organization,BFSP1 BFSP2 DES GFAP IFFO1 IFFO2 INA KRT1 KRT10 KRT12 KRT13 KRT14 KRT15 KRT16 KRT17 KRT18 KRT19 KRT2 KRT20 KRT23 KRT24 KRT25 KRT26 KRT27 KRT28 KRT3 KRT31 KRT32 KRT33A KRT33B KRT34 KRT35 KRT36 KRT37 KRT38 KRT39 KRT4 KRT40 KRT5 KRT6A KRT6B KRT6C KRT7 KRT71 KRT72 KRT73 KRT74 KRT75 KRT76 KRT77 KRT78 KRT79 KRT8 KRT80 KRT81 KRT82 KRT83 KRT84 KRT85 KRT86 KRT9 LMNA LMNB1 LMNB2 NEFL PRPH VIM,
295,intraciliary transport particle,ANAPC5 ANAPC7 APPBP2 BBS4 CDC16 CDC23 CDC27 CNOT10 COPA COPB2 COPE COPS2 COPS3 COPS4 CRNKL1 CSTF3 CTR9 DDB1 DNAJC7 EIF3E EIF3K EIF3M EMC1 EMC2 GPS1 GTF3C3 IFIT1 IFIT1B IFIT2 IFIT5 IFT122 IFT140 IFT172 IFT80 IFT88 LRP2BP MAU2 NAA15 NAA16 NAPA NAPB NAPG NEURL4 NPHP3 PCID2 PRPF39 PSMD11 PSMD12 PSMD13 PSMD3 PSMD6 PSMD8 RAPSN RMDN2 SART3 SEL1L2 SEL1L3 SH3TC1 SRP68 SRP72 ST7 STIP1 TAF1A TOMM70 TPTE TPTE2 TTC13 TTC19 TTC21A TTC21B TTC22 TTC23 TTC23L TTC26 TTC29 TTC30A TTC30B TTC34 TTC37 TTC39A TTC39B TTC39C TTC6 TTC7A TTC8 UTP6 WDR19 WDR35 XAB2 ZMYND12,
186,"intramolecular oxidoreductase activity, transposing S-S bonds",CALR CALR3 CANX CASQ1 CASQ2 CLGN DNAJC16 DNAJC25 EIF2AK3 ERP27 ERP44 HSP90B1 P4HB PDIA3 PDIA4 PDIA5 PDIA6 PDILT PGRMC2 RNF103 TMX3 TXNDC16,
